Objective;Wavelength;Zoom;ETL-Left-Offset;ETL-Left-Amp;ETL-Right-Offset;ETL-Right-Amp
1x;405 nm;0.63x;2.67;0.79;2.67;0.78
1x;405 nm;0.8x;2.67;0.79;2.67;0.78
1x;405 nm;1x;2.67;0.79;2.67;0.78
1x;405 nm;1.25x;2.67;0.79;2.67;0.78
1x;405 nm;1.6x;2.67;0.79;2.67;0.78
1x;405 nm;2x;2.67;0.79;2.67;0.78
1x;405 nm;2.5x;2.67;0.79;2.67;0.78
1x;405 nm;3.2x;2.67;0.79;2.67;0.78
1x;405 nm;4x;2.67;0.25;2.67;0.25
1x;405 nm;5x;2.67;0.25;2.67;0.25
1x;405 nm;6.3x;2.67;0.25;2.67;0.25
1x;488 nm;0.63x;2.5;1.7;2.5;1.7
1x;488 nm;0.8x;2.47;1.05;2.51;0.95
1x;488 nm;1x;2.47;0.87;2.55;0.75
1x;488 nm;1.25x;2.48;0.7;2.51;0.6
1x;488 nm;1.6x;2.46;0.57;2.51;0.49
1x;488 nm;2x;2.465;0.45;2.509;0.39
1x;488 nm;2.5x;2.465;0.35;2.509;0.31
1x;488 nm;3.2x;2.465;0.25;2.51;0.23
1x;488 nm;4x;2.465;0.22;2.51;0.18
1x;488 nm;5x;2.47;0.165;2.509;0.14
1x;488 nm;6.3x;2.47;0.13;2.509;0.12
1x;515 nm;0.63x;2.46;0.87;2.5;0.75
1x;515 nm;0.8x;2.46;0.87;2.5;0.75
1x;515 nm;1x;2.46;0.87;2.5;0.75
1x;515 nm;1.25x;2.46;0.7;2.5;0.6
1x;515 nm;1.6x;2.46;0.7;2.5;0.6
1x;515 nm;2x;2.46;0.7;2.5;0.6
1x;515 nm;2.5x;2.46;0.7;2.5;0.6
1x;515 nm;3.2x;2.46;0.7;2.5;0.6
1x;515 nm;4x;2.458;0.22;2.505;0.18
1x;515 nm;5x;2.458;0.22;2.505;0.18
1x;515 nm;6.3x;2.458;0.22;2.505;0.18
1x;561 nm;0.63x;2.47;0.87;2.509;0.75
1x;561 nm;0.8x;2.47;0.87;2.509;0.75
1x;561 nm;1x;2.47;0.87;2.509;0.75
1x;561 nm;1.25x;2.47;0.65;2.509;0.6
1x;561 nm;1.6x;2.47;0.65;2.509;0.6
1x;561 nm;2x;2.47;0.65;2.509;0.6
1x;561 nm;2.5x;2.47;0.65;2.509;0.6
1x;561 nm;3.2x;2.47;0.65;2.509;0.6
1x;561 nm;4x;2.475;0.22;2.518;0.18
1x;561 nm;5x;2.475;0.22;2.518;0.18
1x;561 nm;6.3x;2.475;0.22;2.518;0.18
1x;594 nm;0.63x;2.478;0.87;2.515;0.75
1x;594 nm;0.8x;2.478;0.87;2.515;0.75
1x;594 nm;1x;2.4220000000000064;0.87;2.515;0.75
1x;594 nm;1.25x;2.478;0.65;2.515;0.6
1x;594 nm;1.6x;2.478;0.65;2.515;0.6
1x;594 nm;2x;2.478;0.65;2.515;0.6
1x;594 nm;2.5x;2.478;0.65;2.515;0.6
1x;594 nm;3.2x;2.478;0.65;2.515;0.6
1x;594 nm;4x;2.4190000000000054;0.2200000000000001;2.518;0.18
1x;594 nm;5x;2.475;0.22;2.518;0.18
1x;594 nm;6.3x;2.475;0.22;2.518;0.18
1x;647 nm;0.63x;2.495;0.87;2.535;0.75
1x;647 nm;0.8x;2.495;0.87;2.535;0.75
1x;647 nm;1x;2.409000000000011;0.87;2.588999999999995;0.702
1x;647 nm;1.25x;2.4190000000000076;0.65;2.535;0.6
1x;647 nm;1.6x;2.495;0.69;2.535;0.6
1x;647 nm;2x;2.495;0.69;2.535;0.6
1x;647 nm;2.5x;2.495;0.69;2.535;0.6
1x;647 nm;3.2x;2.495;0.69;2.535;0.6
1x;647 nm;4x;2.495;0.2;2.535;0.19
1x;647 nm;5x;2.495;0.2;2.535;0.19
1x;647 nm;6.3x;2.495;0.2;2.535;0.19
