Objective;Wavelength;Zoom;ETL-Left-Offset;ETL-Left-Amp;ETL-Right-Offset;ETL-Right-Amp
1x;405 nm;0.5x;2.204000000000013;1.0;2.5040000000000053;1.0
1x;405 nm;0.9x;2.204000000000013;1.0;2.5040000000000053;1.0
1x;405 nm;1x;2.0;1.0;2.0;1.0
1x;405 nm;1.2x;3.2700000000000005;0.6799999999999999;3.086;0.0
1x;405 nm;2x;2.4369999999999994;0.35000000000000003;2.635;0.32
1x;405 nm;4x;2.508;0.19999999999999998;2.5460000000000003;0.216
1x;405 nm;5x;3.6430000000000002;0.16;3.466;0.16
1x;405 nm;7.5x;2.508;0.19999999999999998;2.5460000000000003;0.216
1x;405 nm;10x;3.6279999999999997;0.08;3.4510000000000005;0.08
1x;405 nm;20x;3.6279999999999997;0.08;3.4510000000000005;0.08
1x;488 nm;0.5x;2.204000000000013;1.0;2.5040000000000053;1.0
1x;488 nm;0.9x;2.204000000000013;1.0;2.5040000000000053;1.0
1x;488 nm;1x;2.0;1.0;2.0;1.0
1x;488 nm;1.2x;3.2700000000000005;0.6799999999999999;3.086;0.0
1x;488 nm;2x;3.437;0.39;3.395;0.43
1x;488 nm;4x;2.508;0.19999999999999998;2.5460000000000003;0.216
1x;488 nm;5x;3.5279999999999996;0.15;3.296;0.15
1x;488 nm;7.5x;2.508;0.19999999999999998;2.5460000000000003;0.216
1x;488 nm;10x;3.533;0.08;3.3209999999999997;0.08
1x;488 nm;20x;3.533;0.08;3.3209999999999997;0.08
1x;561 nm;0.5x;2.204000000000013;1.0;2.5040000000000053;1.0
1x;561 nm;0.9x;2.204000000000013;1.0;2.5040000000000053;1.0
1x;561 nm;1x;2.0;1.0;2.0;1.0
1x;561 nm;1.2x;3.2700000000000005;0.6799999999999999;3.086;0.0
1x;561 nm;2x;3.457;0.41000000000000003;3.385;0.45999999999999996
1x;561 nm;4x;2.508;0.19999999999999998;2.5460000000000003;0.216
1x;561 nm;5x;3.5330000000000004;0.15;3.2960000000000003;0.15
1x;561 nm;7.5x;2.508;0.19999999999999998;2.5460000000000003;0.216
1x;561 nm;10x;3.513;0.08;3.2910000000000004;0.08
1x;561 nm;20x;3.513;0.08;3.2910000000000004;0.08
1x;638 nm;0.5x;2.204000000000013;1.0;2.5040000000000053;1.0
1x;638 nm;0.9x;2.204000000000013;1.0;2.5040000000000053;1.0
1x;638 nm;1x;2.0;1.0;2.0;1.0
1x;638 nm;1.2x;3.2700000000000005;0.6799999999999999;3.086;0.0
1x;638 nm;2x;3.4769999999999994;0.41000000000000003;3.465;0.47
1x;638 nm;4x;2.508;0.19999999999999998;2.5460000000000003;0.216
1x;638 nm;5x;3.5629999999999997;0.16;3.3459999999999996;0.16
1x;638 nm;7.5x;3.3879999999999995;0.12000000000000001;3.476;0.11
1x;638 nm;10x;3.548;0.08;3.311;0.08
1x;638 nm;20x;3.548;0.08;3.311;0.08
